,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1980.0,0.0,20.0,0.0,50.0
1,1980.0,0.0,20.0,1.0,50.0
2,1980.0,0.0,20.0,2.0,50.0
3,1980.0,0.0,20.0,3.0,50.0
4,1980.0,0.0,20.0,4.0,50.0
5,1980.0,0.0,20.0,5.0,50.0
6,1980.0,0.0,20.0,6.0,50.0
7,1980.0,0.0,20.0,7.0,50.0
8,1980.0,0.0,20.0,8.0,50.0
9,1980.0,0.0,20.0,9.0,50.0
10,1980.0,0.0,20.0,10.0,50.0
11,1980.0,0.0,20.0,11.0,50.0
12,1980.0,0.0,20.0,12.0,50.0
13,1980.0,0.0,20.0,13.0,50.0
14,1980.0,0.0,20.0,14.0,50.0
15,1980.0,0.0,20.0,15.0,50.0
16,1980.0,0.0,20.0,16.0,50.0
17,1980.0,0.0,20.0,17.0,50.0
18,1980.0,0.0,20.0,18.0,50.0
19,1980.0,0.0,20.0,19.0,50.0
20,1980.0,0.0,20.0,20.0,50.0
